Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Max Feasible Conversion,AMM Consistent Economic Land Conversion Demand,Land Conversion Pressure Factors,Scenario,Empirical Land Take Cap km2 per year,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2041,187850.0,1594250.0,410.0,60217.11937465647,449500000.0,0.188025293260652,2.2118067087021247,48895.213820148405,0.47,29366.968046268816,410.0,20072.37312488549,20072.37312488549,eea_low_410_km2_per_year,410.0,6150.0,3.384700055035772
2042,188260.0,1593840.0,410.0,64110.392883485096,449000000.0,0.18745531920265157,2.210330870114359,49392.44073999529,0.47,29289.870561160165,410.0,21370.1309611617,21370.1309611617,eea_low_410_km2_per_year,410.0,6560.0,3.6103467253714827
2043,188670.0,1593430.0,410.0,68067.45898852882,448500000.0,0.18688773996496647,2.2090395113500643,49895.281339229434,0.47,29210.621860293282,410.0,22689.15299617627,22689.15299617627,eea_low_410_km2_per_year,410.0,6970.0,3.8359933957072156
2044,189080.0,1593020.0,410.0,72091.73517273276,448000000.0,0.18632253990536127,2.2079095724313063,50403.80405110644,0.47,29129.726012460345,410.0,24030.57839091092,24030.57839091092,eea_low_410_km2_per_year,410.0,7380.0,4.061640066042926
2045,189490.0,1592610.0,410.0,76186.48028628784,447500000.0,0.1857597035169159,2.206920875877393,50918.07819711825,0.47,29047.585790488552,410.0,25395.493428762613,25395.493428762613,eea_low_410_km2_per_year,410.0,7790.0,4.287286736378637
2046,189900.0,1592200.0,410.0,80354.81939716014,447000000.0,0.18519921542656495,2.206055766392719,51438.173999154256,0.47,28964.522934604494,410.0,26784.93979905338,26784.93979905338,eea_low_410_km2_per_year,410.0,8200.0,4.51293340671437
2047,190310.0,1591790.0,410.0,84599.76433360734,446500000.0,0.18464106039365522,2.205298795593629,51964.16259183686,0.47,28880.794363080662,410.0,28199.92144453578,28199.92144453578,eea_low_410_km2_per_year,410.0,8610.0,4.738580077050081
2048,190720.0,1591380.0,410.0,88924.23132731812,446000000.0,0.18408522330852306,2.2046364461444257,52496.11603503414,0.47,28796.605140708147,410.0,29641.410442439374,29641.410442439374,eea_low_410_km2_per_year,410.0,9020.0,4.9642267473857915
2049,191130.0,1590970.0,410.0,93331.05652934877,445500000.0,0.18353168919108886,2.2040568903763726,53034.10732655223,0.47,28712.11885353098,410.0,31110.352176449593,31110.352176449593,eea_low_410_km2_per_year,410.0,9430.0,5.189873417721524
2050,191540.0,1590560.0,410.0,97823.00984666537,445000000.0,0.1829804431894702,2.203549779079326,53578.210415010086,0.47,28627.465908590253,410.0,32607.66994888846,32607.66994888846,eea_low_410_km2_per_year,410.0,9840.0,5.415520088057235
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,500.0,0.0,0.0,empirical_mid_500_km2_per_year,500.0,0.0,0.0
2026,181700.0,1600400.0,500.0,4315.952191996505,452080000.0,0.19475383931794832,2.2874999999999996,42066.5,0.47,30000.0,500.0,1438.6507306655014,1438.6507306655014,empirical_mid_500_km2_per_year,500.0,0.0,0.0
2027,182200.0,1599900.0,500.0,8068.535915611748,452360000.0,0.19440041515736586,2.2765625,42487.165,0.47,30003.718459495354,500.0,2689.511971870583,2689.511971870583,empirical_mid_500_km2_per_year,500.0,500.0,0.27517886626307053
2028,182700.0,1599400.0,500.0,11795.384570849128,452640000.0,0.1940490383218648,2.2669921874999996,42912.621228494776,0.47,29995.798144538443,500.0,3931.7948569497094,3931.7948569497094,empirical_mid_500_km2_per_year,500.0,1000.0,0.5503577325261411
2029,183200.0,1598900.0,500.0,15514.908871024585,452920000.0,0.19369969215401583,2.2586181640625,43342.92830542553,0.47,29978.629923349996,500.0,5171.636290341528,5171.636290341528,empirical_mid_500_km2_per_year,500.0,1500.0,0.8255365987892116
2030,183700.0,1598400.0,500.0,19239.59578902356,453200000.0,0.1933523601778758,2.251290893554687,43778.14664716052,0.47,29954.12597700445,500.0,6413.198596341186,6413.198596341186,empirical_mid_500_km2_per_year,500.0,2000.0,1.1007154650522821
2031,184200.0,1597900.0,500.0,22741.694530303066,452960000.0,0.19278570728738248,2.2448795318603514,44218.33747778442,0.47,29923.815542453904,500.0,7580.564843434356,7580.564843434356,empirical_mid_500_km2_per_year,500.0,2500.0,1.3758943313153527
2032,184700.0,1597400.0,500.0,26257.42676749552,452720000.0,0.1922220962580406,2.2392695903778073,44663.56284055606,0.47,29882.098864378004,500.0,8752.475589165173,8752.475589165173,empirical_mid_500_km2_per_year,500.0,3000.0,1.6510731975784232
2033,185200.0,1596900.0,500.0,29794.318459446135,452480000.0,0.1916615024282935,2.2343608915805815,45113.885609537334,0.47,29831.350963589266,500.0,9931.439486482044,9931.439486482044,empirical_mid_500_km2_per_year,500.0,3500.0,1.9262520638414937
2034,185700.0,1596400.0,500.0,33359.12705870831,452240000.0,0.19110390140216016,2.2300657801330086,45569.36950139587,0.47,29773.471096490597,500.0,11119.709019569438,11119.709019569438,empirical_mid_500_km2_per_year,500.0,4000.0,2.2014309301045643
2035,186200.0,1595900.0,500.0,36958.03317090121,452000000.0,0.19054926904566985,2.2263075576163827,46030.07908738412,0.47,29709.977916144173,500.0,12319.344390300403,12319.344390300403,empirical_mid_500_km2_per_year,500.0,4500.0,2.476609796367635
2036,186700.0,1595400.0,500.0,40516.2498675588,451600000.0,0.18993028997229147,2.2230191129143346,46496.07980549773,0.47,29642.08560101663,500.0,13505.4166225196,13505.4166225196,empirical_mid_500_km2_per_year,500.0,5000.0,2.7517886626307053
2037,187200.0,1594900.0,500.0,44116.467845004256,451200000.0,0.1893145494568782,2.220141723800043,46967.437972815984,0.47,29568.69034799384,500.0,14705.489281668086,14705.489281668086,empirical_mid_500_km2_per_year,500.0,5500.0,3.026967528893776
2038,187700.0,1594400.0,500.0,47763.66068670389,450800000.0,0.18870202155481203,2.2176240083250374,47444.2207980271,0.47,29490.992580377242,500.0,15921.220228901298,15921.220228901298,empirical_mid_500_km2_per_year,500.0,6000.0,3.3021463951568464
2039,188200.0,1593900.0,500.0,51462.46566782208,450400000.0,0.18809268059710854,2.215421007284408,47926.49639414133,0.47,29409.951837007673,500.0,17154.155222607358,17154.155222607358,empirical_mid_500_km2_per_year,500.0,6500.0,3.577325261419917
2040,188700.0,1593400.0,500.0,55217.233443680074,450000000.0,0.18748650118676483,2.2134933813738566,48414.33379139485,0.47,29326.334957654508,500.0,18405.74448122669,18405.74448122669,empirical_mid_500_km2_per_year,500.0,7000.0,3.8525041276829874
2041,189200.0,1592900.0,500.0,58976.85467218235,449500000.0,0.18684189158969508,2.2118067087021247,48907.802950347315,0.47,29240.754631214382,500.0,19658.951557394117,19658.951557394117,empirical_mid_500_km2_per_year,500.0,7500.0,4.127682993946058
2042,189700.0,1592400.0,500.0,62798.32313778525,449000000.0,0.18620058663087083,2.210330870114359,49406.97477517626,0.47,29152.418851479393,500.0,20932.77437926175,20932.77437926175,empirical_mid_500_km2_per_year,500.0,8000.0,4.4028618602091285
2043,190200.0,1591900.0,500.0,66685.32139434924,448500000.0,0.18556256016069086,2.2090395113500643,49911.92112717132,0.47,29061.980581901913,500.0,22228.44046478308,22228.44046478308,empirical_mid_500_km2_per_year,500.0,8500.0,4.678040726472199
2044,190700.0,1591400.0,500.0,70641.3443958644,448000000.0,0.18492778630369258,2.2079095724313063,50422.7148384315,0.47,28969.96138712446,500.0,23547.114798621467,23547.114798621467,empirical_mid_500_km2_per_year,500.0,9000.0,4.95321959273527
2045,191200.0,1590900.0,500.0,74669.73142129485,447500000.0,0.18429623945496734,2.206920875877393,50939.42972576865,0.47,28876.777721192604,500.0,24889.91047376495,24889.91047376495,empirical_mid_500_km2_per_year,500.0,9500.0,5.22839845899834
2046,191700.0,1590400.0,500.0,78773.69103045977,447000000.0,0.18366789427663183,2.206055766392719,51462.14060482036,0.47,28782.761958014784,500.0,26257.897010153258,26257.897010153258,empirical_mid_500_km2_per_year,500.0,10000.0,5.503577325261411
2047,192200.0,1589900.0,500.0,82956.32171389315,446500000.0,0.18304272569435476,2.205298795593629,51990.92330437567,0.47,28688.17921562137,500.0,27652.107237964385,27652.107237964385,empirical_mid_500_km2_per_year,500.0,10500.0,5.778756191524481
2048,192700.0,1589400.0,500.0,87220.62964477547,446000000.0,0.1824207088939372,2.2046364461444257,52525.85468091684,0.47,28593.240815464862,500.0,29073.543214925157,29073.543214925157,empirical_mid_500_km2_per_year,500.0,11000.0,6.053935057787552
2049,193200.0,1588900.0,500.0,91569.54430543579,445500000.0,0.18180181931794684,2.2040568903763726,53067.01263338066,0.47,28498.115049754615,500.0,30523.181435145263,30523.181435145263,empirical_mid_500_km2_per_year,500.0,11500.0,6.329113924050622
2050,193700.0,1588400.0,500.0,96005.9324367455,445000000.0,0.18118603266240335,2.203549779079326,53614.47611814275,0.47,28402.93579522087,500.0,32001.977478915167,32001.977478915167,empirical_mid_500_km2_per_year,500.0,12000.0,6.604292790313715
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,540.0,0.0,0.0,eea_recent_540_km2_per_year,540.0,0.0,0.0
2026,181700.0,1600400.0,540.0,4315.952191996505,452080000.0,0.19475383931794832,2.2874999999999996,42066.5,0.47,30000.0,540.0,1438.6507306655014,1438.6507306655014,eea_recent_540_km2_per_year,540.0,0.0,0.0
2027,182240.0,1599860.0,540.0,8028.535915611748,452360000.0,0.1943626054271872,2.2765625,42487.165,0.47,30003.718459495354,540.0,2676.1786385372493,2676.1786385372493,eea_recent_540_km2_per_year,540.0,540.0,0.2971931755641144
2028,182780.0,1599320.0,540.0,11715.698884503508,452640000.0,0.1939738083655828,2.2669921874999996,42912.667994774354,0.47,29994.63257586048,540.0,3905.2329615011695,3905.2329615011695,eea_recent_540_km2_per_year,540.0,1080.0,0.5943863511282288
2029,183320.0,1598780.0,540.0,15395.910640667687,452920000.0,0.19358742672527654,2.2586181640625,43343.070009929426,0.47,29975.378338377537,540.0,5131.9702135558955,5131.9702135558955,eea_recent_540_km2_per_year,540.0,1620.0,0.8915795266923432
2030,183860.0,1598240.0,540.0,19081.695774873893,453200000.0,0.1932034393500811,2.251290893554687,43778.43289972096,0.47,29948.063878527602,540.0,6360.565258291298,6360.565258291298,eea_recent_540_km2_per_year,540.0,2160.0,1.1887727022564576
2031,184400.0,1597700.0,540.0,22545.32991635299,452960000.0,0.19260071889011704,2.2448795318603514,44218.81935901711,0.47,29914.3750493092,540.0,7515.109972117662,7515.109972117662,eea_recent_540_km2_per_year,540.0,2700.0,1.4859658778205942
2032,184940.0,1597160.0,540.0,26023.062205837487,452720000.0,0.19200149324987212,2.2392695903778073,44664.292935443525,0.47,29868.843792783606,540.0,8674.354068612496,8674.354068612496,eea_recent_540_km2_per_year,540.0,3240.0,1.7831590533847086
