Run,Period,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent
Baseline,Train 2000-2018,5.339508778424238,4.639047733952545,9.080681818181818,-2.122726788875642
Baseline,Test 2019-2025,9.718431980502066,9.714429860626941,10.009883579717519,-9.714429860626941
Calibrated,Train 2000-2018,1.4151573021393051,1.2100101542352704,3.0742722197920664,-0.014452279725659503
Calibrated,Test 2019-2025,6.681997481212371,6.31458799937797,9.714567547513289,6.31458799937797
