period,start,end,Urban Land start,Urban Land end,Urban Land change,Urban Land mean,Historical Urban Land start,Historical Urban Land end,Historical Urban Land change,Historical Urban Land mean,Land Conversion Rate start,Land Conversion Rate end,Land Conversion Rate change,Land Conversion Rate mean,Urban Land Gap start,Urban Land Gap end,Urban Land Gap change,Urban Land Gap mean,Desired Urban Land Total start,Desired Urban Land Total end,Desired Urban Land Total change,Desired Urban Land Total mean,AMM Consistent Economic Land Conversion Demand start,AMM Consistent Economic Land Conversion Demand end,AMM Consistent Economic Land Conversion Demand change,AMM Consistent Economic Land Conversion Demand mean,Max Feasible Conversion start,Max Feasible Conversion end,Max Feasible Conversion change,Max Feasible Conversion mean,Income per Capita start,Income per Capita end,Income per Capita change,Income per Capita mean,Mean Household Size start,Mean Household Size end,Mean Household Size change,Mean Household Size mean,Agricultural Rent start,Agricultural Rent end,Agricultural Rent change,Agricultural Rent mean,Agricultural Scarcity Index start,Agricultural Scarcity Index end,Agricultural Scarcity Index change,Agricultural Scarcity Index mean,Mean annual Urban Land change,Max annual Urban Land change,Mean Urban Land Error Percent
early_2000_2006,2000,2006,154139.0,154139.0,0.0,154139.0,154139.0,167626.0,13487.0,160882.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154139.0,132557.37303234678,-21581.626967653225,138728.50748610258,0.0,0.0,0.0,0.0,1826720.0,1826720.0,0.0,1826720.0,16976.0,18020.366076602575,1044.366076602575,17493.853390980024,2.5,2.3346385955810547,-0.1653614044189453,2.4082185472760886,15000.0,15163.109647058824,163.1096470588236,15058.054991596639,0.16040437992078088,0.16463150710928148,0.004227127188500601,0.16262577839228887,0.0,0.0,-4.116653460709869
middle_2006_2012,2006,2012,154139.0,154139.0,0.0,154139.0,167626.0,179759.0,12133.0,173692.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132557.37303234678,140845.89187250411,8288.51884015734,135947.34409148345,0.0,0.0,0.0,0.0,1826720.0,1826720.0,0.0,1826720.0,18020.366076602575,19128.981711520322,1108.6156349177472,18570.077886184932,2.3346385955810547,2.2604251714001293,-0.07421342418092536,2.2934475092639337,15163.109647058824,15432.294140024473,269.18449296564904,15299.061499817952,0.16463150710928148,0.16734894601617473,0.0027174389068932436,0.16599022656272813,0.0,0.0,-11.209379679395466
late_2012_2018,2012,2018,154139.0,154139.0,0.0,154139.0,179759.0,181700.0,1941.0,180729.5,0.0,39.43964309760486,39.43964309760486,5.6342347282292655,0.0,394.3964309760486,394.3964309760486,56.34234728229266,140845.89187250411,154533.39643097605,13687.504558471934,147667.53324983898,0.0,39.43964309760486,39.43964309760486,5.6342347282292655,1826720.0,1826720.0,0.0,1826720.0,19128.981711520322,20305.799547256825,1176.8178357365032,19712.511874415333,2.2604251714001293,2.2271185340501933,-0.033306637349936,2.241938804692812,15432.294140024473,15670.596764454342,238.30262442986896,15557.85228503517,0.16734894601617473,0.16893411871186242,0.0015851726956876977,0.16838416083784832,0.0,0.0,-14.711778940079443
post_2018_2025,2018,2025,154139.0,158974.35991444014,4835.359914440138,155825.61933223123,181700.0,181700.0,0.0,181700.0,39.43964309760486,1455.6697291468008,1416.230086049196,786.3787054483718,394.3964309760486,14556.697291468008,14162.30086049196,7863.787054483717,154533.39643097605,173531.05720590815,18997.660774932097,163689.40638671495,39.43964309760486,1455.6697291468008,1416.230086049196,786.3787054483718,1826720.0,1821884.6400855598,-4835.359914440196,1825033.380667769,20305.799547256825,21776.619598286885,1470.8200510300594,21032.455030264817,2.2271185340501933,2.210649337237977,-0.016469196812216147,2.2178003639669632,15670.596764454342,15696.92021199716,26.32344754281803,15713.061421904647,0.16893411871186242,0.1658449641773473,-0.0030891545345151372,0.16795402235911097,604.4199893050172,1288.7467278245895,-14.240165474831459
full_2000_2025,2000,2025,154139.0,158974.35991444014,4835.359914440138,154657.95979453268,154139.0,181700.0,27561.0,174294.09615384616,0.0,1455.6697291468008,1455.6697291468008,241.96267859949896,0.0,14556.697291468008,14556.697291468008,2419.62678599499,154139.0,173531.05720590815,19392.057205908146,147614.70321345644,0.0,1455.6697291468008,1455.6697291468008,241.96267859949896,1826720.0,1821884.6400855598,-4835.359914440196,1826201.0402054673,16976.0,21776.619598286885,4800.619598286885,19278.445960300032,2.5,2.210649337237977,-0.2893506627620228,2.289440563051314,15000.0,15696.92021199716,696.9202119971596,15417.048933032609,0.16040437992078088,0.1658449641773473,0.005440584256566405,0.16621995259944716,193.41439657760552,1288.7467278245895,-11.027665203460332
