Year,Urban Land,Historical Urban Land,Urban Land Error Percent,Urban Land Absolute Error Percent,Land Conversion Rate,Urban Land Gap,Desired Urban Land Total,Desired Urban Land,AMM Consistent Economic Land Conversion Demand,Land Conversion Pressure Factors,Max Feasible Conversion,Expected Population,Number of Households,Mean Household Size,Income per Capita,Mean Household Income,Transport Cost per km,Agricultural Rent,Urban Fringe Radius,Land Demand per Household q,Reference Initial Land Demand per Capita,Housing Preference Share Alpha,Agricultural Scarcity Index,Populational Need of Kcal in Km2,Yield,Innovation Index,Urban Productivity Effect,Urban Land annual change,Urban Land annual acceleration,Historical Urban Land annual change,Urban Land absolute gap to historical,Conversion per Gap,LCR / AMM demand,LCR / Max Feasible Conversion,Near max feasible cap,Demand exceeds feasible cap,Largest acceleration year flag
2010,154139.0,175714.66666666666,-12.27880806762478,12.27880806762478,0.0,0.0,136971.85338394748,5992.580978750205,0.0,0.0,1826720.0,441000000.0,193512489.58730757,2.2789226728491485,18752.06520098061,42734.50654926024,0.45711509811199996,15344.57724084706,43.67903023040801,0.0008070895663898336,0.000498,0.15,0.1664431330472103,304045.0,1800000000.0,1.0,0.0,0.0,0.0,2022.166666666657,-21575.666666666657,,,0.0,False,False,False
2011,154139.0,177736.83333333334,-13.276839071998776,13.276839071998776,0.0,0.0,138815.93350782702,6030.559819167983,0.0,0.0,1826720.0,442200000.0,194882690.90853676,2.269057338743005,18939.585852990418,42975.0062724811,0.4596920784896,15388.602969148236,43.81722267827093,0.000804945077903614,0.000498,0.15,0.1668960395316925,304872.3333333333,1800000000.0,1.0,0.0,0.0,0.0,2022.166666666686,-23597.833333333343,,,0.0,False,False,False
2012,154139.0,179759.0,-14.252415734399944,14.252415734399944,0.0,0.0,140845.89187250411,6078.972933110569,0.0,0.0,1826720.0,443400000.0,196157787.30925816,2.2604251714001293,19128.981711520322,43239.631763973266,0.46175366279167995,15432.294140024473,43.99275262702737,0.0008039090415486417,0.000498,0.15,0.16734894601617473,305699.6666666667,1800000000.0,1.0,0.0,0.0,0.0,2022.166666666657,-25620.0,,,0.0,False,False,False
2013,154139.0,180082.5,-14.406452598114752,14.406452598114752,0.0,0.0,143029.4717601369,6135.983427381858,0.0,0.0,1826720.0,444600000.0,197348093.93130592,2.252872024975113,19320.271528635527,43526.09924178614,0.46340293023334395,15475.717664960755,44.19856006340479,0.0008038179533969739,0.000498,0.15,0.1678018525006569,306527.0,1800000000.0,1.0,0.0,0.0,0.0,323.5,-25943.5,,,0.0,False,False,False
2014,154139.0,180406.0,-14.559937030919148,14.559937030919148,0.0,0.0,145342.12851819783,6200.170595965438,0.0,0.0,1826720.0,445800000.0,198462956.324769,2.246263021853224,19513.474243921883,43832.395622007025,0.46472234418667513,15518.927073145074,44.42913432722227,0.0008045434123566177,0.000498,0.15,0.1682547589851391,307354.3333333333,1800000000.0,1.0,0.0,0.0,0.0,323.5,-26267.0,,,0.0,False,False,False
2015,154139.0,180729.5,-14.712871999313892,14.712871999313892,0.0,0.0,147765.13582890114,6270.4272433614315,0.0,0.0,1826720.0,447000000.0,199510806.2764181,2.240480144121571,19708.6089863611,44156.74710219801,0.4657778753493401,15561.965187927824,44.68014751649025,0.0008059808256310617,0.000498,0.15,0.16870766546962135,308181.6666666667,1800000000.0,1.0,0.0,0.0,0.0,323.5,-26590.5,,,0.0,False,False,False
2016,154139.0,181053.0,-14.865260448597924,14.865260448597924,0.0,0.0,149948.90499030802,6345.885618373126,0.0,0.0,1826720.0,447200000.0,200051880.5290203,2.2354201261063746,19905.69507622471,44497.591397529286,0.4666223002794721,15604.866267989319,44.948184177603636,0.0008080429038421356,0.000498,0.15,0.1687831498837017,308319.55555555556,1800000000.0,1.0,0.0,0.0,0.0,323.5,-26914.0,,,0.0,False,False,False
2017,154139.0,181376.5,-15.017105303057452,15.017105303057452,0.0,0.0,152207.8033478487,6425.850980055363,0.0,0.0,1826720.0,447400000.0,200538539.62842113,2.230992610343078,20104.752026986956,44853.55320498792,0.4672978402235777,15640.598896744397,45.23049666690158,0.0008115658108632314,0.000498,0.15,0.16885863429778206,308457.44444444444,1800000000.0,1.0,0.0,0.0,0.0,323.5,-27237.5,,,0.0,False,False,False
2018,154139.0,181700.0,-15.168409466153,15.168409466153,39.43964309760486,394.3964309760486,154533.39643097605,6509.793069075062,39.43964309760486,39.43964309760486,1826720.0,447600000.0,200977178.87785864,2.2271185340501933,20305.799547256825,45223.4225204037,0.46783827217886215,15670.596764454342,45.52496531654481,0.0008160358878390149,0.000498,0.15,0.16893411871186242,308595.3333333333,1800000000.0,1.0,0.0,0.0,0.0,323.5,-27561.0,0.1,1.0,2.159041511430589e-05,False,False,False
2019,154178.4396430976,181700.0,-15.14670355360616,15.14670355360616,274.08478326088806,2740.8478326088807,156919.2874757065,6597.2907179181475,274.08478326088806,274.08478326088806,1826680.5603569024,447800000.0,201373484.32723075,2.2237287172939193,20508.857542729394,45606.13547665736,0.4682706177430897,15696.00682332818,45.8298929608084,0.0008211768055232097,0.000498,0.15,0.1689700177272646,308654.24666555546,1800460567.1347015,1.0002558706303897,1.2793531519483815e-06,39.43964309760486,39.43964309760486,0.0,-27521.560356902395,0.09999999999999999,1.0,0.00015004527294434913,False,False,False
2020,154452.5244263585,181700.0,-14.995858873770782,14.995858873770782,490.8445082391583,4908.445082391583,159360.96950875007,6688.02162844419,490.8445082391583,490.8445082391583,1826406.4755736415,448000000.0,201732501.45048884,2.2207626276321792,20713.972356228227,46000.81567851772,0.46861649419447177,15717.006280062447,46.14396042682848,0.0008269391299305374,0.000498,0.15,0.16877082690591966,308244.13114888984,1803661266.5674832,1.0020340369819352,1.0170184909675805e-05,274.08478326088516,234.6451401632803,0.0,-27247.47557364151,0.09999999999999999,1.0,0.00026874877788910206,False,False,True
2021,154943.36893459765,181700.0,-14.725718803193372,14.725718803193372,712.9905819510517,7129.905819510517,162073.27475410816,6781.791552031954,712.9905819510517,712.9905819510517,1825915.6310654024,448800000.0,202329193.1885764,2.2181672991781567,20921.322744719586,46406.99396788918,0.4688931953555774,15730.080433061932,46.466316933562204,0.0008338181945643324,0.000498,0.15,0.1685819063747824,307816.3379645194,1809393236.5090976,1.0052184647272764,2.6092323636381922e-05,490.8445082391554,216.75972497827024,0.0,-26756.631065402355,0.09999999999999999,1.0,0.0003904838590680278,False,False,False
2022,155656.3595165487,181700.0,-14.333318923198298,14.333318923198298,918.9295196431165,9189.295196431165,164845.65471297986,6878.476057599778,918.9295196431165,918.9295196431165,1825202.6404834513,449600000.0,202897573.49762648,2.215896386780887,21131.08185809074,46824.28793811442,0.4691145562844619,15737.00642555063,46.79636791648507,0.0008414533705931014,0.000498,0.15,0.1681745052473182,306952.5510394032,1817719377.5085325,1.0098440986158514,4.922049307925725e-05,712.9905819510459,222.1460737118905,0.0,-26043.64048345131,0.09999999999999999,1.0,0.0005034671215464134,False,False,False
2023,156575.2890361918,181700.0,-13.827578956416184,13.827578956416184,1110.324150423755,11103.24150423755,167678.53054042935,6977.992351657164,1110.324150423755,1110.324150423755,1824283.7109638082,450400000.0,203441031.74465847,2.213909338433276,21343.43275894,47252.425099239976,0.46929164502756954,15734.92770576649,47.13367211800894,0.0008502356098858805,0.000498,0.15,0.16756935304757928,305694.04122144246,1828450426.336912,1.0158057924093955,7.902896204697751e-05,918.9295196431049,205.93893769205897,0.0,-25124.710963808204,0.1,1.0,0.0006086356764305849,False,False,False
2024,157685.61318661555,181700.0,-13.21650347461995,13.21650347461995,1288.746727824598,12887.467278245982,170573.08046486153,7080.299212195045,1288.746727824598,1288.746727824598,1823173.3868133845,451200000.0,203962563.0556355,2.2121706711291167,21558.55383586686,47691.20050766278,0.4694333160220556,15721.946731015998,47.477936738871406,0.0008603223283216048,0.000498,0.15,0.16678648668081383,304080.6837965648,1841416537.9035025,1.023009187724168,0.00011504593862084023,1110.3241504237521,191.39463078064728,0.0,-24014.38681338445,0.09999999999999999,1.0,0.0007068700855035633,False,False,False
2025,158974.35991444014,181700.0,-12.507231747693925,12.507231747693925,1455.6697291468008,14556.697291468008,173531.05720590815,7185.387855877557,1455.6697291468008,1455.6697291468008,1821884.6400855598,452000000.0,204464811.48599374,2.210649337237977,21776.619598286885,48140.46968223645,0.4695466528176445,15696.92021199716,47.828982246978406,0.000871759983207302,0.000498,0.15,0.1658449641773473,302150.39287024894,1856466227.5348372,1.0313701264082429,0.00015685063204121441,1288.7467278245895,178.42257740083733,0.0,-22725.640085559862,0.1,1.0,0.0007989911639402368,False,False,False
