Score Train RMSE Percent,Initial Urban Land,Urban Expansion Adjustment Time,Soil Protection Factor,Spatial Planing Factor,Urban Population Density,Reference Initial Land Demand per Capita,Housing Preference Share Alpha,Long Run Transport Cost per km,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent
1.4151573020463182,154611.4083296881,19.760072725727106,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576315785110428,1.4151573020463182,1.2100101543554902,3.0742722197920664,-0.014452281975650948
1.4151573021393051,154611.4083296881,19.760072715727105,0.7534696659166892,1.1972967393113556,2007.507540654774,0.0008,0.1,0.3576315785110428,1.4151573021393051,1.2100101542352704,3.0742722197920664,-0.014452279725659503
1.4151573021393051,154611.4083296881,19.760072715727105,0.7534696659166892,1.1972967493113555,2007.507540644774,0.0008,0.1,0.3576315785110428,1.4151573021393051,1.2100101542352704,3.0742722197920664,-0.014452279725659503
1.4151573021393051,154611.4083296881,19.760072715727105,0.7534696759166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576315785110428,1.4151573021393051,1.2100101542352704,3.0742722197920664,-0.014452279725659503
1.4151573021393051,154611.4083296881,19.760072715727105,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576315785110428,1.4151573021393051,1.2100101542352704,3.0742722197920664,-0.014452279725659503
1.4151573021393313,154611.4083296981,19.760072715727105,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576315785110428,1.4151573021393313,1.210010154234328,3.074272219798741,-0.014452279719195481
1.4151573021437631,154611.4083296881,19.760072715727105,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576315885110428,1.4151573021437631,1.2100102407121764,3.0742722197920664,-0.014453199479550191
1.4151573034650018,154611.4083296881,19.76007268856083,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576320119393004,1.4151573034650018,1.2100139020621112,3.0742722197920664,-0.01449213829607079
1.415157303557887,154611.4083296881,19.760072678560828,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576320119393004,1.415157303557887,1.2100139019418932,3.0742722197920664,-0.014492136046090402
1.415157303557887,154611.4083296881,19.760072678560828,0.7534696759166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576320119393004,1.415157303557887,1.2100139019418932,3.0742722197920664,-0.014492136046090402
1.415157303557887,154611.4083296881,19.760072678560828,0.7534696659166892,1.1972967493113555,2007.507540644774,0.0008,0.1,0.3576320119393004,1.415157303557887,1.2100139019418932,3.0742722197920664,-0.014492136046090402
1.415157303557887,154611.4083296881,19.760072678560828,0.7534696659166892,1.1972967393113556,2007.507540654774,0.0008,0.1,0.3576320119393004,1.415157303557887,1.2100139019418932,3.0742722197920664,-0.014492136046090402
1.415157303557916,154611.4083296981,19.760072678560828,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576320119393004,1.415157303557916,1.2100139019409568,3.074272219798741,-0.014492136039648326
1.4151573036038925,154611.4083296881,19.760072678560828,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1,0.3576320219393004,1.4151573036038925,1.2100139884187846,3.0742722197920664,-0.014493055797649175
1.4151573212320627,154611.4083296881,19.760072715727105,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.10000001,0.3576315785110428,1.4151573212320627,1.210010164893601,3.0742722197920664,-0.01445219663722945
1.4151573226464889,154611.4083296881,19.760072678560828,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.10000001,0.3576320119393004,1.4151573226464889,1.2100139126003604,3.0742722197920664,-0.014492052959251472
1.415157682229496,154611.4083296881,19.760072715727105,0.7534696659166892,1.1972967393113556,2007.507540644774,0.00079999,0.1,0.3576315785110428,1.415157682229496,1.210010906498798,3.0742722197920664,-0.01445626281513576
1.4151576838145297,154611.4083296881,19.760072678560828,0.7534696659166892,1.1972967393113556,2007.507540644774,0.00079999,0.1,0.3576320119393004,1.4151576838145297,1.2100146542050496,3.0742722197920664,-0.014496119130848865
1.4153155725335989,154611.4083296879,19.760072651834864,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1000829328828782,0.3576400627376095,1.4153155725335989,1.2101718911803843,3.074272219791931,-0.014544115614136002
1.4153155726266275,154611.4083296879,19.760072641834864,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1000829328828782,0.3576400627376095,1.4153155726266275,1.2101718910602428,3.074272219791931,-0.014544113364176743
1.4153155726266275,154611.4083296879,19.760072641834864,0.7534696659166892,1.1972967393113556,2007.507540654774,0.0008,0.1000829328828782,0.3576400627376095,1.4153155726266275,1.2101718910602428,3.074272219791931,-0.014544113364176743
1.4153155726266275,154611.4083296879,19.760072641834864,0.7534696659166892,1.1972967493113555,2007.507540644774,0.0008,0.1000829328828782,0.3576400627376095,1.4153155726266275,1.2101718910602428,3.074272219791931,-0.014544113364176743
1.4153155726266275,154611.4083296879,19.760072641834864,0.7534696759166892,1.1972967393113556,2007.507540644774,0.0008,0.1000829328828782,0.3576400627376095,1.4153155726266275,1.2101718910602428,3.074272219791931,-0.014544113364176743
1.4153155726266597,154611.4083296979,19.760072641834864,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1000829328828782,0.3576400627376095,1.4153155726266597,1.2101718910593067,3.074272219798605,-0.014544113357721416
1.4153155726479694,154611.4083296879,19.760072641834864,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1000829328828782,0.3576400727376095,1.4153155726479694,1.2101719775604325,3.074272219791931,-0.014545033368837244
1.415315591699511,154611.4083296879,19.760072641834864,0.7534696659166892,1.1972967393113556,2007.507540644774,0.0008,0.1000829428828782,0.3576400627376095,1.415315591699511,1.210171901710442,3.074272219791931,-0.014544030391527244
1.4153159526017363,154611.4083296879,19.760072641834864,0.7534696659166892,1.1972967393113556,2007.507540644774,0.00079999,0.1000829328828782,0.3576400627376095,1.4153159526017363,1.210172642908206,3.074272219791931,-0.014548094368380764
