Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Populational Need of Kcal in Km2,Yield,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Scenario,Urban Expansion Adjustment Time,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2040,224743.76406236418,1557356.2359376356,4250.827056298702,21254.13528149351,450000000.0,0.16106126323312692,250829.76266410324,2226410430.997553,2.2134933813738566,48656.20753546054,0.47,26822.175167190424,medium_fast_5y,5,43043.76406236418,23.68946838875299
2045,247007.04586012862,1535092.9541398713,4788.516930996923,23942.584654984617,447500000.0,0.1478438363388126,226954.03147671948,2446960278.1961,2.206920875877393,51499.6251576878,0.47,24802.24765240435,medium_fast_5y,5,65307.04586012862,35.94223767756115
2050,272315.4159115546,1509784.5840884452,5512.945400367922,27564.72700183961,445000000.0,0.1355897938392943,204711.38049829696,2697676106.9939356,2.203549779079326,54683.005978929,0.47,22821.478346223008,medium_fast_5y,5,90615.41591155459,49.87089483299647
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,original_10y,10,0.0,0.0
2030,185561.84903520232,1596538.1509647977,1738.6796652002843,17386.796652002842,453200000.0,0.19163556548096516,305953.49137207353,1838257172.6106997,2.251290893554687,43779.431352231106,0.47,29923.86744622815,original_10y,10,3861.849035202322,2.125398478372209
2035,196348.66702984378,1585751.3329701566,2705.939213244294,27059.39213244294,452000000.0,0.18185682145632082,288379.6970340765,1945116129.0793548,2.2263075576163827,46061.38157227795,0.47,29199.14233616182,original_10y,10,14648.667029843782,8.06200717107528
2040,211273.34236825863,1570826.6576317418,3376.471053951312,33764.71053951312,450000000.0,0.1698610294007004,266822.23307538923,2092966517.6822536,2.2134933813738566,48545.301322978135,0.47,27814.671660209322,original_10y,10,29573.34236825863,16.275917649014104
2045,229318.71540815494,1552781.2845918452,3959.124230030243,39591.24230030243,447500000.0,0.15743361038582743,244459.9637728372,2271731908.2811165,2.206920875877393,51276.20959998715,0.47,26087.203076556852,original_10y,10,47618.71540815494,26.20732823783982
2050,250339.78748275733,1531760.2125172426,4588.682091413127,45886.82091413127,445000000.0,0.14537627977685944,222681.60120596833,2479975880.4015584,2.203549779079326,54302.5582637671,0.47,24249.430976045758,original_10y,10,68639.78748275733,37.77643780008659
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,slow_15y,15,0.0,0.0
2030,184361.71384822493,1597738.286151775,1238.3702884211593,18575.55432631739,453200000.0,0.1927381677034303,307945.1497425121,1826368106.3665648,2.251290893554687,43777.86542897137,0.47,29957.868303512274,slow_15y,15,2661.7138482249284,1.464894798142513
2035,192297.3729119643,1589802.6270880357,2065.473606054363,30982.10409081544,452000000.0,0.18521496636213286,294455.24009854096,1904982230.2781272,2.2263075576163827,46045.44169975925,0.47,29437.812531083244,slow_15y,15,10597.37291196431,5.832346126562626
2040,203950.708914776,1578149.291085224,2709.2296350100814,40638.44452515122,450000000.0,0.1751432537770989,276402.2017866881,2020425294.6978357,2.2134933813738566,48493.17717095934,0.47,28343.64944320446,slow_15y,15,22250.708914776013,12.24584970543534
2045,218646.34440136116,1563453.6555986388,3281.05935343418,49215.8903015127,447500000.0,0.16399099858468766,256392.32622250114,2166006713.9375343,2.206920875877393,51160.82127036166,0.47,26878.02788876327,slow_15y,15,36946.34440136116,20.333706329863045
2050,236207.3455673545,1545892.6544326455,3867.147548974676,58007.21323462014,445000000.0,0.1526657030175993,236004.78887870253,2339973704.024425,2.203549779079326,54091.68232673583,0.47,25229.145985083404,slow_15y,15,54507.345567354496,29.99853911246808
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,very_slow_20y,20,0.0,0.0
2030,183729.82052542386,1598370.1794745764,960.0807551891063,19201.615103782126,453200000.0,0.19332458460988747,309004.25099975377,1820108293.592531,2.251290893554687,43777.06205681596,0.47,29975.431100349077,very_slow_20y,20,2029.8205254238565,1.1171274218072957
2035,189987.91980598494,1592112.0801940153,1661.0829529374562,33221.65905874912,452000000.0,0.187194469307221,298034.5759295344,1882103773.5320468,2.2263075576163827,46036.76136181191,0.47,29571.91132666729,very_slow_20y,20,8287.919805984944,4.561320751780373
2040,199481.61131798985,1582618.3886820106,2242.5248570579834,44850.49714115966,450000000.0,0.1785614246726179,282594.59419614275,1976152451.1413407,2.2134933813738566,48463.2604634576,0.47,28666.97101169389,very_slow_20y,20,17781.611317989853,9.78624728563009
2045,211761.17496781677,1570338.8250321837,2773.697473901381,55473.949478027615,447500000.0,0.16858057741844376,264728.62586652604,2097799201.662466,2.206920875877393,51091.55293558104,0.47,27400.344172744422,very_slow_20y,20,30061.17496781677,16.544400092359247
2050,226698.02762964938,1555401.9723703512,3313.3784168600223,66267.56833720044,445000000.0,0.15809707236213838,245904.49817804818,2245770224.179245,2.203549779079326,53960.28222071052,0.47,25921.314427382484,very_slow_20y,20,44998.02762964938,24.765012454402523
