Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Populational Need of Kcal in Km2,Yield,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Scenario,Urban Expansion Adjustment Time,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2044,251902.53838192704,1530197.4616180728,5008.102947845599,15024.308843536797,448000000.0,0.145596922946316,222792.04191185485,2495457177.1462216,2.2079095724313063,51043.17993721424,0.47,24499.784807406082,fast_calibrated_3y,3,70202.53838192704,38.636509841456814
2045,256910.64132977262,1525189.3586702272,5146.767929568935,15440.303788706806,447500000.0,0.14306763023109903,218205.22719863913,2545069644.4336305,2.206920875877393,51652.218252785555,0.47,24088.175480044967,fast_calibrated_3y,3,75210.64132977262,41.39275802409059
2046,262057.40925934157,1520042.5907406583,5295.608089706967,15886.824269120902,447000000.0,0.14057546437616664,213680.69306491947,2596055787.929635,2.206055766392719,52275.64182389066,0.47,23680.916968049976,fast_calibrated_3y,3,80357.40925934157,44.225321551646424
2047,267353.0173490485,1514746.9826509515,5454.5331570943235,16363.59947128297,446500000.0,0.13811806359676113,209213.92008278612,2648516407.420403,2.205298795593629,52913.993595578584,0.47,23278.283626048866,fast_calibrated_3y,3,85653.01734904852,47.13980041224464
2048,272807.55050614284,1509292.449493857,5623.642306686011,16870.92692005803,446000000.0,0.13569357258474143,204801.2845469969,2702551408.4262905,2.2046364461444257,53567.85128638989,0.47,22880.42213049754,fast_calibrated_3y,3,91107.55050614284,50.14174491257173
2049,278431.1928128289,1503668.8071871712,5803.180318942798,17409.540956828394,445500000.0,0.1333005169149672,200439.82926696204,2758261678.9383154,2.2040568903763726,54237.82907598962,0.47,22487.39262857793,fast_calibrated_3y,3,96731.19281282887,53.23675994101753
2050,284234.3731317717,1497865.6268682284,5993.509827161247,17980.52948148374,445000000.0,0.1309377165788006,196127.10492399958,2815750531.8502417,2.203549779079326,54924.579681061536,0.47,22099.197785614917,fast_calibrated_3y,3,102534.37313177169,56.43058510279124
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,medium_fast_5y,5,0.0,0.0
2026,181700.0,1600400.0,863.1904383993009,4315.952191996505,452080000.0,0.19475383931794832,311684.0444444445,1800000000.0,2.2874999999999996,42066.5,0.47,30000.0,medium_fast_5y,5,0.0,0.0
2027,182563.1904383993,1599536.8095616007,1541.0690954424906,7705.345477212453,452360000.0,0.19405772849218136,310402.4799031551,1808551143.583482,2.2765625,42487.165,0.47,30003.718459495354,medium_fast_5y,5,863.1904383992951,0.4750635324156871
2028,184104.25953384177,1597995.7404661581,2078.795861785894,10393.979308929469,452640000.0,0.19273814720223684,307994.7382545138,1823817650.8580909,2.2669921874999996,42913.04585513436,0.47,29985.234069063492,medium_fast_5y,5,2404.259533841774,1.3232028254495098
2029,186183.05539562766,1595916.9446043721,2509.286845123209,12546.434225616045,452920000.0,0.19095246250985654,304744.2705334112,1844411115.6418805,2.2586181640625,43345.015446861915,0.47,29929.76754069968,medium_fast_5y,5,4483.055395627656,2.467284202326714
2030,188692.34224075088,1593407.657759249,2857.640677676513,14288.203388382564,453200000.0,0.18882649397217616,300877.5814830962,1869269213.171995,2.251290893554687,43783.81282492362,0.47,29830.346632232435,medium_fast_5y,5,6992.342240750877,3.848289620666412
2031,191549.98291842738,1590550.0170815724,3095.785368562868,15478.92684281434,452960000.0,0.18624499362031066,296231.9777841425,1897578256.7593243,2.2448795318603514,44230.07559279522,0.47,29685.272216452468,medium_fast_5y,5,9849.982918427384,5.4210142644069315
2032,194645.76828699026,1587454.2317130095,3293.987126674532,16469.93563337266,452720000.0,0.1835429490538722,291366.03117665474,1928246466.244262,2.2392695903778073,44684.36494225839,0.47,29489.632217687406,medium_fast_5y,5,12945.768286990264,7.124803680236802
2033,197939.7554136648,1584160.244586335,3462.565341994021,17312.826709970104,452480000.0,0.18076795792660272,286365.4124423793,1960878149.392386,2.2343608915805815,45147.126958070454,0.47,29249.82371012529,medium_fast_5y,5,16239.755413664796,8.93767496624369
2034,201402.32075565882,1580697.679244341,3609.5728420468804,18047.864210234402,452240000.0,0.17795487502141466,281292.8579565669,1995179842.3785677,2.2300657801330086,45618.77374497171,0.47,28972.431656217737,medium_fast_5y,5,19702.320755658817,10.843324576587122
2035,205011.8935977057,1577088.1064022942,3741.3081800317277,18706.540900158638,452000000.0,0.17512882141712457,276193.58134519856,2030937856.2238317,2.2263075576163827,46099.69444094656,0.47,28663.79850180958,medium_fast_5y,5,23311.893597705697,12.829880901323998
2036,208753.2017777374,1573346.7982222624,3846.5506559172472,19232.753279586235,451600000.0,0.17224654961705468,271003.55734482507,2068000898.1834192,2.2230191129143346,46590.26406481926,0.47,28329.772616472164,medium_fast_5y,5,27053.201777737413,14.888938787967753
2037,212599.75243365465,1569500.2475663451,3947.8942607979347,19739.471303989674,451200000.0,0.16939444008097465,265864.61564345215,2106106518.330095,2.220141723800043,47090.85068495627,0.47,27973.699495988105,medium_fast_5y,5,30899.75243365465,17.0059176850053
2038,216547.6466944526,1565552.3533055473,4047.8257039989867,20239.128519994934,450800000.0,0.1665777713259125,260786.22190767562,2145216092.7353585,2.2176240083250374,47601.800348329096,0.47,27600.918405980963,medium_fast_5y,5,34847.64669445259,19.178671818631045
2039,220595.4723984516,1561504.5276015482,4148.291663912591,20741.458319562953,450400000.0,0.16379956466852158,255773.76184905902,2185315631.905409,2.215421007284408,48123.46531715522,0.47,27215.863480928423,medium_fast_5y,5,38895.47239845159,21.406423994744948
2040,224743.76406236418,1557356.2359376356,4250.827056298702,21254.13528149351,450000000.0,0.16106126323312692,250829.76266410324,2226410430.997553,2.2134933813738566,48656.20753546054,0.47,26822.175167190424,medium_fast_5y,5,43043.76406236418,23.68946838875299
2041,228994.59111866288,1553105.408881337,4345.4981792600765,21727.490896300384,449500000.0,0.15832800635148325,245900.0830418873,2268520990.7187295,2.2118067087021247,49200.40159533154,0.47,26422.810309358625,medium_fast_5y,5,47294.59111866288,26.028943928818315
2042,233340.08929792297,1548759.9107020767,4446.208381404193,22231.04190702096,449000000.0,0.1556421016453263,241052.24744569912,2311569404.1621423,2.210330870114359,49756.43733600486,0.47,26019.059725794403,medium_fast_5y,5,51640.08929792297,28.420522453452367
2043,237786.29767932717,1544313.7023206726,4553.377945041563,22766.889725207817,448500000.0,0.15300101123940085,236281.55812592595,2355615497.0984526,2.2090395113500643,50324.706906590494,0.47,25613.2602973345,medium_fast_5y,5,56086.29767932717,30.867527616580716
2044,242339.67562436874,1539760.324375631,4667.370235759876,23336.851178799378,448000000.0,0.1504023322021174,231583.5438183837,2400723258.79947,2.2079095724313063,50905.62393966818,0.47,25207.203293022394,medium_fast_5y,5,60639.67562436874,33.373514377748336
2045,247007.04586012862,1535092.9541398713,4788.516930996923,23942.584654984617,447500000.0,0.1478438363388126,226954.03147671948,2446960278.1961,2.206920875877393,51499.6251576878,0.47,24802.24765240435,medium_fast_5y,5,65307.04586012862,35.94223767756115
2046,251795.56279112556,1530304.4372088744,4917.136420378787,24585.682101893937,447000000.0,0.14532348921967908,222389.18038355093,2494397429.9616175,2.206055766392719,52107.171997650825,0.47,24399.411838081614,medium_fast_5y,5,70095.56279112556,38.57763499786766
2047,256712.69921150434,1525387.3007884957,5053.547705431626,25267.73852715813,446500000.0,0.14283945593655115,217885.49213715302,2543108742.876763,2.205298795593629,52728.752290732155,0.47,23999.447904330304,medium_fast_5y,5,75012.69921150434,41.283819048709056
2048,261766.24691693595,1520333.753083064,5198.08125140369,25990.406257018447,446000000.0,0.14039009847260245,213439.80530655262,2593171405.8914948,2.2046364461444257,53364.882027051215,0.47,23602.900929462936,medium_fast_5y,5,80066.24691693595,44.06507810508309
2049,266964.3281683396,1515135.6718316602,5351.0877432149955,26755.438716074976,445500000.0,0.13797396793471634,209049.28060204638,2644665881.6896596,2.2040568903763726,54016.107232051254,0.47,23210.15648063279,medium_fast_5y,5,85264.32816833962,46.92588231609225
2050,272315.4159115546,1509784.5840884452,5512.945400367922,27564.72700183961,445000000.0,0.1355897938392943,204711.38049829696,2697676106.9939356,2.203549779079326,54683.005978929,0.47,22821.478346223008,medium_fast_5y,5,90615.41591155459,49.87089483299647
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,medium_7y,7,0.0,0.0
2026,181700.0,1600400.0,616.5645988566436,4315.952191996505,452080000.0,0.19475383931794832,311684.0444444445,1800000000.0,2.2874999999999996,42066.5,0.47,30000.0,medium_7y,7,0.0,0.0
2027,182316.56459885664,1599783.4354011433,1135.995902393587,7951.971316755109,452360000.0,0.19429028020537423,310822.37193200435,1806107959.7024872,2.2765625,42487.165,0.47,30003.718459495354,medium_7y,7,616.5645988566393,0.33933109458264
2028,183452.56050125023,1598647.4394987498,1577.677149223671,11043.740044565697,452640000.0,0.19334398238575146,309088.86238347297,1817361634.0244927,2.2669921874999996,42912.75751081026,0.47,29992.40299070413,medium_7y,7,1752.5605012502347,0.9645352235829519
2029,185030.2376504739,1597069.7623495262,1955.9701390569721,13691.790973398805,452920000.0,0.1920034836806197,306642.95805208845,1832990796.7575839,2.2586181640625,43343.95462922638,0.47,29954.178889415347,medium_7y,7,3330.237650473893,1.8328220420879893
2030,186986.20778953086,1595113.7922104693,2282.359000155669,15976.513001089683,453200000.0,0.19034560815818605,303622.9048598122,1852367495.9887474,2.251290893554687,43781.36626329042,0.47,29882.275766712628,medium_7y,7,5286.207789530861,2.909305332708234
2031,189268.56678968653,1592831.4332103136,2532.346787714466,17726.42751400126,452960000.0,0.1882199894227776,299802.7155111129,1874977546.6232011,2.2448795318603514,44225.548594040476,0.47,29773.645583523867,medium_7y,7,7568.566789686534,4.165419256844549
2032,191800.913577401,1590299.0864225992,2751.2009742385085,19258.40681966956,452720000.0,0.18593211253723216,295687.6687045842,1900064086.0722163,2.2392695903778073,44677.01497756879,0.47,29621.214531396494,medium_7y,7,10100.913577400992,5.559115892900923
2033,194552.1145516395,1587547.8854483606,2944.987600261857,20614.913201833,452480000.0,0.18352312774142393,291351.7533767669,1927318691.210518,2.2343608915805815,45136.20336254493,0.47,29428.74081725282,medium_7y,7,12852.114551639504,7.073260622806554
2034,197497.10215190137,1584602.8978480988,3118.778624784106,21831.45037348874,452240000.0,0.1810264366066172,286855.0160339608,1956493031.7744763,2.2300657801330086,45603.52840266575,0.47,29200.49955391895,medium_7y,7,15797.102151901374,8.694057320804284
2035,200615.8807766855,1581484.1192233146,3276.8289799842046,22937.80285988943,452000000.0,0.17846887845991316,282245.6970599485,1987389022.5538461,2.2263075576163827,46079.38767119059,0.47,28940.940509071515,medium_7y,7,18915.880776685488,10.410501252991455
2036,203892.7097566697,1578207.2902433304,3411.187648775081,23878.313541425567,451600000.0,0.17580952235665318,277463.8698774678,2019850729.5652468,2.2230191129143346,46564.1670240569,0.47,28654.450878556447,medium_7y,7,22192.709756669705,12.213929420291535
2037,207303.8974054448,1574796.1025945554,3537.5751671115163,24763.026169780613,451200000.0,0.17313764112703753,272656.4824592735,2053643452.5580657,2.220141723800043,47058.24526677479,0.47,28343.27863202297,medium_7y,7,25603.89740544479,14.091302919892556
2038,210841.47257255632,1571258.5274274438,3658.342466528095,25608.397265696665,450800000.0,0.17046468591592742,267844.09137064184,2088688225.815087,2.2176240083250374,47561.98331888918,0.47,28011.97417791281,medium_7y,7,29141.47257255632,16.038234767504854
2039,214499.8150390844,1567600.1849609157,3775.469290414534,26428.28503290174,450400000.0,0.16779938217875412,263042.34253974236,2124929372.9793723,2.215421007284408,48075.74366480189,0.47,27664.530849882958,medium_7y,7,32799.81503908441,18.051631832187343
2040,218275.28432949894,1563824.715670501,3890.630046459281,27234.410325214965,450000000.0,0.16514829035468484,258262.97820738438,2162330829.901475,2.2134933813738566,48599.89338268469,0.47,27304.412296348797,medium_7y,7,36575.28432949894,20.129490550081975
