Scenario,Urban Expansion Adjustment Time,Urban Land,Urban Land Increase since 2025,Urban Land Growth Percent since 2025,Aggricultural Land,Land Conversion Rate,Urban Land Gap
fast_calibrated_3y,3,284234.3731317717,102534.37313177169,56.43058510279124,1497865.6268682284,5993.509827161247,17980.52948148374
medium_fast_5y,5,272315.4159115546,90615.41591155459,49.87089483299647,1509784.5840884452,5512.945400367922,27564.72700183961
medium_7y,7,262325.90921296424,80625.90921296424,44.37309257730557,1519774.0907870356,5114.0457162645425,35798.3200138518
original_10y,10,250339.78748275733,68639.78748275733,37.77643780008659,1531760.2125172426,4588.682091413127,45886.82091413127
slow_15y,15,236207.3455673545,54507.345567354496,29.99853911246808,1545892.6544326455,3867.147548974676,58007.21323462014
very_slow_20y,20,226698.02762964938,44998.02762964938,24.765012454402523,1555401.9723703512,3313.3784168600223,66267.56833720044
