Stage,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent,Final Year Error Percent
baseline,11.969857231582896,11.027665203460332,15.168409466153,-11.027665203460332,-12.507231747693925
stage_1_adjustment_time_only,11.511040289380569,10.585010554748386,15.168409466153,-10.585010554748386,-8.911353243502898
stage_2_adjustment_time_plus_land_demand,11.520465690710667,10.594132472870095,15.168409466153,-10.594132472870095,-8.95683659451828
