Stage,Score Train RMSE Percent,Urban Expansion Adjustment Time,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent,Final Year Error Percent,Reference Initial Land Demand per Capita
stage_2_adjustment_time_plus_land_demand,11.57517890633991,3.318359101020258,11.57517890633991,10.649698534159565,15.168409466153,-10.649698534159565,-9.34442467641442,0.00037675383651094164
stage_2_adjustment_time_plus_land_demand,11.578498997259675,3.3474967216911544,11.578498997259675,10.653116332352369,15.168409466153,-10.653116332352369,-9.37132029614994,0.00038001042088780233
stage_2_adjustment_time_plus_land_demand,11.581285198460694,3.3474967216911544,11.581285198460694,10.655774004710436,15.168409466153,-10.655774004710436,-9.384899249855064,0.00036212632848740134
stage_1_adjustment_time_only,11.585892371103062,3.547444209843648,11.585892371103062,10.661765182350546,15.168409466153,-10.661765182350546,-9.478164288911044,
stage_2_adjustment_time_plus_land_demand,11.58784701061936,3.4158327364509944,11.58784701061936,10.662594202884396,15.168409466153,-10.662594202884396,-9.441734947873309,0.00037668114560746404
stage_2_adjustment_time_plus_land_demand,11.59581436809448,3.4663122396391746,11.59581436809448,10.670579366718572,15.168409466153,-10.670579366718572,-9.498708079722906,0.00036642250926682574
stage_1_adjustment_time_only,11.596851363051348,3.636718202040516,11.596851363051348,10.672852208924736,15.168409466153,-10.672852208924736,-9.562248184926522,
stage_1_adjustment_time_only,11.597113003547447,3.6388815940691597,11.597113003547447,10.673116433486083,15.168409466153,-10.673116433486083,-9.564258663747186,
stage_1_adjustment_time_only,11.599241814375592,3.656540380939777,11.599241814375592,10.675265449547453,15.168409466153,-10.675265449547453,-9.58062184294055,
stage_1_adjustment_time_only,11.60288620793248,3.6870070826230936,11.60288620793248,10.678941043381041,15.168409466153,-10.678941043381041,-9.608655603950126,
stage_2_adjustment_time_plus_land_demand,11.605946510961308,3.621344353417613,11.605946510961308,10.681375809066715,15.168409466153,-10.681375809066715,-9.601996152614458,0.00042502669183330544
stage_2_adjustment_time_plus_land_demand,11.616109184063552,3.6426351530701684,11.616109184063552,10.691156405464957,15.168409466153,-10.691156405464957,-9.659203889957684,0.00037427586230405057
stage_1_adjustment_time_only,11.621043500286158,3.8433971009878425,11.621043500286158,10.69718997344658,15.168409466153,-10.69718997344658,-9.748707901399717,
stage_1_adjustment_time_only,11.624442231838307,3.873553450500749,11.624442231838307,10.700594045182756,15.168409466153,-10.700594045182756,-9.774991076389677,
stage_2_adjustment_time_plus_land_demand,11.624646931384996,3.7378133160689373,11.624646931384996,10.699893628589592,15.168409466153,-10.699893628589592,-9.732838624273699,0.0003915531401200599
stage_2_adjustment_time_plus_land_demand,11.633419629766427,3.8751662205865163,11.633419629766427,10.709074022484954,15.168409466153,-10.709074022484954,-9.820108197772647,0.00043754887156321305
stage_2_adjustment_time_plus_land_demand,11.634145329645195,3.8270996037556326,11.634145329645195,10.70944898094843,15.168409466153,-10.70944898094843,-9.808571670356809,0.00039589667133034317
stage_2_adjustment_time_plus_land_demand,11.63694639194268,3.8270996037556326,11.63694639194268,10.712087568725053,15.168409466153,-10.712087568725053,-9.82243658123418,0.00037679264970812934
stage_2_adjustment_time_plus_land_demand,11.678221081025399,4.291014962334251,11.678221081025399,10.753455850873564,15.168409466153,-10.753455850873564,-10.165864571626615,0.0004268330012530614
stage_1_adjustment_time_only,11.688781565685414,4.504372534882632,11.688781565685414,10.76433275390039,15.168409466153,-10.76433275390039,-10.276058635904333,
stage_2_adjustment_time_plus_land_demand,11.691293232281032,4.422367890124767,11.691293232281032,10.76628334226086,15.168409466153,-10.76628334226086,-10.267164479775573,0.00042310005183289674
stage_2_adjustment_time_plus_land_demand,11.692375086024743,4.426154000638712,11.692375086024743,10.767307550237327,15.168409466153,-10.767307550237327,-10.273610059415637,0.0004177641834591354
stage_1_adjustment_time_only,11.694926722161904,4.571311374684109,11.694926722161904,10.77035102106933,15.168409466153,-10.77035102106933,-10.324224528935078,
stage_2_adjustment_time_plus_land_demand,11.701115659900804,4.472194850539694,11.701115659900804,10.775644683167492,15.168409466153,-10.775644683167492,-10.329739877574974,0.0003848493564427131
stage_2_adjustment_time_plus_land_demand,11.712239642607722,4.6131963441984425,11.712239642607722,10.786592198144406,15.168409466153,-10.786592198144406,-10.422184626845478,0.00039648703105347273
stage_2_adjustment_time_plus_land_demand,11.728726646481773,4.832615844376071,11.728726646481773,10.802734423059006,15.168409466153,-10.802734423059006,-10.559324063178412,0.00041405693775365445
stage_1_adjustment_time_only,11.73813383292389,5.081562079820884,11.73813383292389,10.812326439250446,15.168409466153,-10.812326439250446,-10.66411178957576,
stage_2_adjustment_time_plus_land_demand,11.743295348092104,4.968657030490162,11.743295348092104,10.816664813086922,15.168409466153,-10.816664813086922,-10.664911298828704,0.0003870010765623305
stage_1_adjustment_time_only,11.748741593020533,5.218585943109148,11.748741593020533,10.822541442696238,15.168409466153,-10.822541442696238,-10.74784934841557,
stage_1_adjustment_time_only,11.748741593020533,5.218585943109148,11.748741593020533,10.822541442696238,15.168409466153,-10.822541442696238,-10.74784934841557,
stage_2_adjustment_time_plus_land_demand,11.760615745999292,5.185656586177226,11.760615745999292,10.833314619319271,15.168409466153,-10.833314619319271,-10.801244788509383,0.00038278723955019743
stage_2_adjustment_time_plus_land_demand,11.761616464684645,5.268133149521823,11.761616464684645,10.834502021736453,15.168409466153,-10.834502021736453,-10.823983654912107,0.0004241709075155494
stage_2_adjustment_time_plus_land_demand,11.768755688021594,5.327055711169724,11.768755688021594,10.84121773385983,15.168409466153,-10.84121773385983,-10.872717653885934,0.0004013055468576179
stage_2_adjustment_time_plus_land_demand,11.772508831827816,5.340460708462742,11.772508831827816,10.844687257282448,15.168409466153,-10.844687257282448,-10.894627300644942,0.00037865824579396226
stage_2_adjustment_time_plus_land_demand,11.779067532291695,5.517850240203849,11.779067532291695,10.851204067644447,15.168409466153,-10.851204067644447,-10.964067561163695,0.00042779554214901337
stage_1_adjustment_time_only,11.780388890985627,5.6594297254084625,11.780388890985627,10.852807360271573,15.168409466153,-10.852807360271573,-10.998241717550169,
